Country Code,Year,AG.LND.TOTL.K2,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.ATM.CO2E.PC,IT.CEL.SETS.P2,IT.NET.USER.ZS,NY.ADJ.DRES.GN.ZS,NY.ADJ.SVNX.GN.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SE.TER.ENRR,SH.XPD.CHEX.GD.ZS,SL.EMP.TOTL.SP.ZS,SL.TLF.ACTI.ZS,SL.UEM.TOTL.ZS,SP.DYN.LE00.IN,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,Region,Income Group
AUT,2020,82520.0,100.0,100.0,6.632645737335458,120.3155961,87.52942813,0.0420824027177127,13.032040611627,435049316955.73663,48789.49784988721,97.6123962402344,101.560852050781,101.690559387207,88.7071990966797,11.39,57.648,77.032,5.201,81.19268292682928,0.415176731565556,8916864.0,41.252,58.748,Europe & Central Asia,High income
AUT,2022,82520.0,100.0,100.0,6.632645737335458,123.4348071,93.61409139,0.0828769699169557,12.7766258435125,470941926750.74115,52084.68119533723,97.1591720581055,100.77562713623,101.458000183105,93.940071105957,12.1,58.441,78.469,4.992,81.09268292682928,0.956287797076634,9041851.0,40.744,59.256,Europe & Central Asia,High income
AZE,2020,82646.0,98.1,100.0,3.39884957289227,100.577047,84.59999573,7.56521132032423,8.17220122972157,42693000000.0,4229.910649045028,98.5337295532227,98.2360687255859,81.7582626342773,36.1521987915039,5.85,62.649,73.303,7.24,66.868,0.684365325388407,10093121.0,43.603,56.397,Europe & Central Asia,Upper middle income
AZE,2022,82650.0,98.5,100.0,3.39884957289227,106.8548072,86.0,16.169177659972075,9.4460624119237,78807470588.2353,7770.594223350996,99.7032775878906,99.8082962036133,80.630500793457,41.7732887268066,4.7,66.052,76.589,5.65,73.488,0.039507866238038,10141756.0,42.83,57.17,Europe & Central Asia,Upper middle income
BDI,2020,25680.0,0.1,9.1,0.0583840218352736,54.26373457,3.787954422,13.7719540219161,-17.7560027739939,2649680261.442985,216.8274174811143,49.1959190368652,105.158096313477,46.391471862793,4.6985502243042,10.71837234,77.778,79.066,1.03,61.566,2.86708219532744,12220227.0,86.292,13.708,Sub-Saharan Africa,Low income
BDI,2022,25680.0,0.1,10.3,0.0583840218352736,57.96130144,5.804921577,13.9163419337296,-17.7560027739939,3338722827.656905,259.0250313630879,47.148998260498,103.901000976562,41.984001159668,6.51700019836426,9.10190964,78.127,79.278,0.919,61.977,2.66016084004174,12889576.0,85.583,14.417,Sub-Saharan Africa,Low income
BEL,2020,30280.0,100.0,100.0,7.398130657746813,99.72332827,91.52641629,0.0188316271658004,10.4792043810198,526021513474.2427,45587.96830831899,47.148998260498,102.064270019531,151.727508544922,79.4996032714844,11.19751263,50.833,69.084,5.555,80.69512195121952,0.430996815099722,11538604.0,1.9210000000000065,98.079,Europe & Central Asia,High income
BEL,2022,30280.0,100.0,100.0,7.398130657746813,101.8707731,94.00783071,0.0313099758855987,12.126916285956,583613982019.263,49942.090642488656,47.148998260498,101.821136474609,143.163513183594,82.6882019042969,11.04290771,52.036,71.158,5.558,81.69756097560978,0.856132433382837,11685814.0,1.8469999999999944,98.153,Europe & Central Asia,High income
BEN,2020,112760.0,5.7,41.0,0.6312048059644757,88.11818884,28.22915416,0.030002195419226,11.665795411647,15686741883.93395,1240.7331546117166,60.2596817016602,109.148918151855,45.7407913208008,10.8024797439575,2.46970391,61.073,62.668,1.565,60.088,2.82913811282206,12643123.0,51.585,48.415,Sub-Saharan Africa,Lower middle income
BEN,2022,112760.0,6.0,56.5,0.6312048059644757,108.9652901,33.96533089,0.0,11.665795411647,17425418044.290585,1304.9947969432314,64.5733337402344,113.04891204834,45.3651695251465,10.2315101623535,2.58129549,61.478,63.038,1.473,59.954,2.70204108933956,13352864.0,50.466,49.534,Sub-Saharan Africa,Lower middle income
BFA,2020,273600.0,14.5,18.5,0.2535331887475069,102.7626369,13.93797176,3.46065856195253,10.0805562274939,17725010530.7894,823.5524108809677,62.0456809997559,87.8472290039062,39.4295806884766,7.6837100982666,6.50193262,61.402,66.028,4.985,59.731,2.68878766730686,21522626.0,69.393,30.607,Sub-Saharan Africa,Low income
BFA,2022,273600.0,17.2,19.5,0.2535331887475069,111.6631328,21.57982734,12.6227866379498,10.0805562274939,18820219331.22608,830.0439658503111,58.3837013244629,82.3567962646484,33.724910736084,9.73007965087891,6.37691164,61.958,66.548,5.348,59.766,2.55998839127434,22673762.0,68.123,31.877,Sub-Saharan Africa,Low income
BGD,2020,130170.0,24.9,96.2,0.5106475592770943,105.2911628,32.87,0.5041553086816919,34.5194590322733,373979442653.34265,2233.767281929623,58.3837013244629,118.429237365723,69.0139999389648,22.5389995574951,2.27063942,54.946,60.351,5.828,71.968,1.14420974001656,167420951.0,61.823,38.177,South Asia,Lower middle income
BGD,2022,130170.0,28.0,99.4,0.5106475592770943,105.2642491,38.91744466,0.5362234815122062,32.7983296667557,460131688909.3012,2687.8990630708686,107.697998046875,117.658996582031,71.8219985961914,22.8400001525879,2.36492991,55.794,60.881,5.247,73.698,1.0748367431585,171186372.0,60.289,39.711,South Asia,Lower middle income
BUL,2020,108560.0,28.0,99.7,4.923280379405005,113.849275,70.16248359,0.2954029966325225,7.96535734508682,70368758395.14104,10148.342395443482,91.2257766723633,88.9717636108398,91.2799377441406,74.3762283325195,8.48,52.706,72.629,5.125,73.65853658536587,-0.60024151846542,6934015.0,24.313999999999993,75.686,Europe & Central Asia,Upper middle income
BUL,2022,108560.0,28.0,100.0,4.923280379405005,117.4346239,79.12686326,0.530094933899043,8.84336050003393,90346169914.93486,13974.44924877923,89.5208129882812,87.2791290283203,89.7356414794922,74.0276489257812,8.56,54.183,74.13,4.268,74.3609756097561,-6.18725298204958,6465097.0,23.637,76.363,Europe & Central Asia,Upper middle income
BAH,2020,785.0,100.0,100.0,21.97690780652589,119.86485,99.67103159,11.238745683888686,6.7386031028272,34621807712.76596,23433.187236257385,99.6566772460938,98.0046920776367,101.02108001709,56.6339988708496,4.71684837,70.08,73.269,1.767,79.174,-1.12524267833833,1477469.0,10.494,89.506,Middle East & North Africa,High income
BAH,2022,790.0,100.0,100.0,21.97690780652589,145.4432145,100.0,11.238745683888686,6.7386031028272,44383297872.34042,30146.925026365,92.9442291259766,92.3441925048828,103.490966796875,77.2444915771484,4.26834059,70.881,74.131,1.326,79.246,0.611005553402689,1472233.0,10.257000000000003,89.743,Middle East & North Africa,High income
BHS,2020,10010.0,100.0,100.0,6.042251476735117,114.6450432,92.4760204,0.020114024035589,8.71588521384613,9958200000.0,24499.164762061748,92.9442291259766,92.3441925048828,103.490966796875,77.2444915771484,7.64700842,59.661,73.872,12.804,72.677,0.471994444906908,406471.0,16.754999999999995,83.245,Latin America & Caribbean,High income
BHS,2022,10010.0,100.0,100.0,6.042251476735117,98.53872346,94.29380729,0.0157881838453418,4.95473147120007,13136400000.0,32041.25039025913,92.9442291259766,93.8210525512695,62.6166610717773,77.2444915771484,7.13872051,64.611,78.164,9.87,74.358,0.508137884368941,409984.0,16.507999999999996,83.492,Latin America & Caribbean,High income
BIH,2020,51200.0,40.85,100.0,6.312305874475313,105.7638198,73.21175294,0.0468515525737873,4.95473147120007,20226036564.412888,6095.10423658487,90.1913833618164,88.8544692993164,85.2992401123047,40.8813400268555,9.7,39.373,57.784,15.868,76.225,-1.26677102311527,3318407.0,50.98,49.02,Europe & Central Asia,Upper middle income
BIH,2022,51200.0,41.1,100.0,6.312305874475313,117.8877485,78.8455371,0.0727072534827254,4.95473147120007,24534663636.17784,7587.588173460749,87.0107116699219,87.8222198486328,85.2915191650391,44.6326713562012,9.56,43.836,61.552,12.657,75.293,-1.15051398459433,3233526.0,50.159,49.841,Europe & Central Asia,Upper middle income
BLR,2020,202980.0,99.7,100.0,5.842407295900875,121.490553,85.08791245,0.292100099087634,12.1913000598105,61371755326.2351,6542.864539843605,95.6100616455078,94.4190673828125,95.0074691772461,76.8908920288086,6.41,62.052,78.497,4.049,72.45721951219514,-0.42347525027949,9379952.0,20.516999999999996,79.483,Europe & Central Asia,Upper middle income
BLR,2022,202950.0,99.7,100.0,5.842407295900875,123.4472552,89.50733148,0.672071495838844,13.3506671279207,73775179924.60303,7994.648060748886,93.2138977050781,94.7119674682617,94.5358963012695,70.8675689697266,6.57,62.699,79.331,3.574,73.11146341463416,-0.804228426880244,9228071.0,19.674000000000007,80.326,Europe & Central Asia,Upper middle income
BLZ,2020,22810.0,82.9,96.8,1.741107715213929,66.84898207,59.50638944,0.430928874942561,15.3821811129865,2047727810.06777,5185.158069760205,105.195671081543,110.308288574219,85.9464797973633,25.7016506195068,5.30974436,54.854,64.11,10.7,72.854,1.48622151575632,394921.0,53.975,46.025,Latin America & Caribbean,Upper middle income
BLZ,2022,22810.0,82.5,98.6,1.741107715213929,65.9948854,61.9941698,0.4037166415696069,12.2860280392957,2830507575.6840954,6984.216959681635,105.755889892578,99.9364624023438,86.9924087524414,23.7802906036377,4.98043823,57.715,66.322,8.724,70.962,1.30164025141276,405272.0,53.604,46.396,Latin America & Caribbean,Upper middle income
BMU,2020,54.0,82.5,100.0,1.741107715213929,106.2002186,98.37,0.4037166415696069,12.2860280392957,6887147000.0,107791.88643513374,105.755889892578,90.4899978637695,80.4469985961914,22.8644790649414,4.98043823,57.715,66.322,8.724,81.136,-0.0281681326390652,63893.0,0.0,100.0,North America,High income
BMU,2022,54.0,82.5,100.0,1.741107715213929,105.9437563,98.37,0.4037166415696069,12.2860280392957,7827980000.0,123091.12351599969,105.755889892578,85.4250030517578,75.8450012207031,22.8644790649414,4.98043823,57.715,66.322,8.724,81.571,-0.265391686795242,63595.0,0.0,100.0,North America,High income
BOL,2020,1083300.0,87.4,97.2,1.5394646956031597,98.89563329,59.94010155,1.5521374133742492,2.89303548561503,36629843806.07815,3068.812555164562,92.1121826171875,98.6972885131836,90.0048294067383,22.8644790649414,8.0225811,64.175,71.581,7.903,64.467,1.33973922043111,11936162.0,29.876999999999995,70.123,Latin America & Caribbean,Lower middle income
BOL,2022,1083300.0,89.1,99.9,1.5394646956031597,99.62307127,65.9773785,6.946392048582521,-1.60914629182139,44008282879.884224,3600.1216350216273,96.5441131591797,99.5986480712891,91.4673690795898,22.8644790649414,8.15972805,67.436,72.014,3.552,64.928,1.1902748132628,12224110.0,29.17,70.83,Latin America & Caribbean,Lower middle income
BRA,2020,8358140.0,96.4,99.7,1.942523356314845,96.54706819,81.34269353,1.314163489667248,-1.31267875556685,1476107231194.106,6923.699911768198,96.5441131591797,105.498199462891,104.125999450684,54.5727996826172,10.18235016,52.03,66.601,13.697,74.009,0.665176682246802,213196304.0,12.927000000000008,87.073,Latin America & Caribbean,Upper middle income
BRA,2022,8358140.0,96.5,100.0,1.942523356314845,98.89102076,80.52775094,3.74676225993476,-0.0811199550420212,1951923942083.3196,9065.497333954045,96.5441131591797,103.4716796875,106.651901245117,60.3906211853027,9.89072323,57.503,70.279,9.231,73.425,0.459583548488331,215313498.0,12.444999999999991,87.555,Latin America & Caribbean,Upper middle income
BRB,2020,430.0,100.0,100.0,3.904871158169245,105.0970277,82.458446,0.1288941197026429,-2.49654052748991,4779756550.0,17028.413783029857,94.0690002441406,99.529296875,104.71501159668,60.3906211853027,7.37276554,54.932,72.011,9.756,77.393,0.182929163306018,280693.0,68.809,31.191,Latin America & Caribbean,High income
BRB,2022,430.0,100.0,100.0,3.904871158169245,114.8585936,85.82,0.3087752065279592,-2.49654052748991,5840673700.0,20738.45118681982,91.7237091064453,95.5793075561523,106.39241027832,60.3906211853027,8.09043312,56.828,74.369,8.493,77.706,0.154574639677083,281635.0,68.676,31.324,Latin America & Caribbean,High income
BRN,2020,5270.0,100.0,100.0,21.70581243986643,121.4758051,96.06912594,9.249048251348254,31.1444467937863,12005799653.983503,27179.352886939847,100.352867126465,97.5299987792969,88.4315490722656,32.6983299255371,2.39334464,58.909,67.678,7.409,74.795,0.835902308961215,441725.0,21.75,78.25,East Asia & Pacific,High income
BRN,2022,5270.0,100.0,100.0,21.70581243986643,117.7551548,98.08,16.087494294009318,24.0484937317743,16681536466.7183,37152.47697497628,100.352867126465,97.5299987792969,88.4315490722656,32.6983299255371,2.20486665,61.509,69.115,5.191,74.551,0.811520875721177,449002.0,21.146,78.854,East Asia & Pacific,High income
BTN,2020,38140.0,86.0,100.0,1.340054316730226,96.4571149,79.86984884,2.632358048765206,18.8144578656422,2457604042.409587,3181.3397467587138,82.713996887207,103.801002502441,87.5288467407227,16.8500003814697,4.36274862,64.418,70.103,5.03,71.609,0.655471789302584,772506.0,57.684,42.316,South Asia,Lower middle income
BTN,2022,38140.0,88.0,100.0,1.340054316730226,94.89274144,85.63688389,2.556626800766813,13.8954055824374,2898227713.223154,3704.018394953261,78.6259994506836,103.800003051758,88.193000793457,17.5289993286133,3.84550023,65.75,72.256,5.947,72.229,0.63707753130368,782455.0,56.314,43.686,South Asia,Lower middle income
BWA,2020,566730.0,64.8,71.8,2.2634631138367,150.3850531,72.74801998,0.5748556711399162,8.93206894180754,14960291105.931597,5875.070435041913,78.6259994506836,103.800003051758,88.193000793457,24.0127906799316,6.1213398,49.159,64.225,21.017,65.647,1.85098576387245,2546402.0,29.123000000000005,70.877,Sub-Saharan Africa,Upper middle income
BWA,2022,566730.0,66.0,75.9,2.2634631138367,165.3049695,73.5,0.8559992469346029,8.99521677939729,20321958850.03632,7726.110996646887,78.6259994506836,93.7229537963867,70.0183868408203,22.9046497344971,6.30929565,49.341,66.847,23.615,65.913,1.60475774255203,2630296.0,27.775999999999996,72.224,Sub-Saharan Africa,Upper middle income
CAF,2020,622980.0,0.9,15.4,0.0442820726854849,34.26900891,8.565672483,0.131363480380656,8.99521677939729,2326720900.380474,435.4692478000221,48.7290000915527,110.710998535156,15.42516040802,22.9046497344971,8.98538017,65.161,69.864,6.556,54.604,2.5340939316943,5343020.0,57.802,42.198,Sub-Saharan Africa,Low income
CAF,2022,622980.0,1.0,15.7,0.0442820726854849,33.55228751,10.58263964,0.55724019830389,8.99521677939729,2382618615.016939,427.05809619126865,48.7290000915527,110.710998535156,15.42516040802,22.9046497344971,9.06853294,65.986,70.484,6.337,54.477,2.21079511675969,5579144.0,56.88,43.12,Sub-Saharan Africa,Low income
CAN,2020,8965590.0,100.0,100.0,13.591696342109334,85.40841921,92.3,0.359354442831679,3.86104745752944,1655684730000.1936,43537.839298903986,48.7290000915527,97.7384185791016,110.079071044922,74.1571426391602,13.0351181,57.836,77.693,9.657,81.66048780487806,1.08436897113225,38028638.0,18.438,81.562,North America,High income
CAN,2022,8788700.0,100.0,100.0,13.591696342109334,91.23062536,92.83401664,2.171311720168907,7.61520074432484,2161483369422.0144,55509.39317640404,48.7290000915527,96.293083190918,109.334312438965,77.8022918701172,11.15471363,61.568,79.762,5.28,81.29560975609758,1.81192255344382,38939056.0,18.248000000000005,81.752,North America,High income
SUI,2020,39509.63,100.0,100.0,4.042072814753408,127.4054064,94.34995199,0.0014584935701474,11.8899083098521,741999406005.6272,85897.7843338323,94.2758178710938,101.731712341309,104.211616516113,68.0676422119141,11.73206806,64.599,83.923,4.817,83.0,0.730676195047382,8638167.0,26.084999999999994,73.915,Europe & Central Asia,High income
SUI,2022,39509.63,100.0,100.0,4.042072814753408,119.5610489,95.56937168,0.0021097797226387,16.1899176583468,818426550206.4498,93259.90571830244,95.063606262207,101.363067626953,103.392356872559,74.1526794433594,11.80107975,63.774,83.231,4.3,83.45365853658537,0.814795736256849,8775760.0,25.908,74.092,Europe & Central Asia,High income
CHI,2020,198.0,100.0,100.0,4.042072814753408,119.5610489,95.56937168,0.0021097797226387,16.1899176583468,9301349237.210602,54357.93444805831,95.063606262207,101.363067626953,103.392356872559,74.1526794433594,11.80107975,54.056,72.009,6.611,81.264,1.00023446187106,171113.0,69.037,30.963,Europe & Central Asia,High income
CHI,2022,198.0,100.0,100.0,4.042072814753408,119.5610489,95.56937168,0.0021097797226387,16.1899176583468,11228317318.765242,64501.27424195476,95.063606262207,101.363067626953,103.392356872559,74.1526794433594,11.80107975,54.472,72.708,5.91,81.583,0.80516754536027,174079.0,68.923,31.077,Europe & Central Asia,High income
CHL,2020,743532.0,100.0,100.0,4.39515106359663,129.8851806,86.37099516,2.6762743171748244,4.76388739206384,254042159309.31055,13162.591351970708,97.9685821533203,99.7043991088867,103.691688537598,89.1124877929688,9.72726822,50.194,63.139,11.006,79.377,1.36064363430941,19300315.0,12.272999999999996,87.727,Latin America & Caribbean,High income
CHL,2022,743532.0,100.0,100.0,4.39515106359663,134.7453263,90.19336882,9.415391089099671,-3.60320822234989,302116539409.02985,15411.17395391122,100.269378662109,100.192268371582,106.068328857422,99.3372802734375,9.00162983,55.178,67.788,8.299,79.519,0.565514127974157,19603733.0,12.087999999999994,87.912,Latin America & Caribbean,High income
CHN,2020,9388210.0,83.8,100.0,7.756137906597689,120.5961882,70.05275998,0.475068779435521,15.7926133101607,14687744162801.031,10408.719554107458,100.269378662109,99.0244293212891,106.068328857422,62.2367782592773,5.59359741,62.719,74.291,5.0,78.077,0.238040870229883,1411100000.0,38.572,61.428,East Asia & Pacific,Upper middle income
CHN,2022,9388210.0,87.8,100.0,7.756137906597689,124.8775379,75.61131603,1.011566517838115,16.806586216299,17881783387000.867,12662.583169225392,100.269378662109,100.171730041504,106.068328857422,71.9815521240234,5.38360548,63.568,75.933,4.98,78.587,-0.0130995013525784,1412175000.0,36.44,63.56,East Asia & Pacific,Upper middle income
CIV,2020,318000.0,37.4,69.9,0.4063473568903829,149.543339,41.3736053,0.8477208919804671,20.056665374705,63027852805.42045,2350.751397255478,75.5859832763672,94.1609115600586,54.652530670166,9.77698040008545,3.62587261,62.377,65.467,2.559,59.032,2.50861820334885,26811790.0,48.294,51.706,Sub-Saharan Africa,Lower middle income
CIV,2022,318000.0,42.6,70.4,0.4063473568903829,174.0251271,35.47812105,2.419571877044015,20.056665374705,70173140101.43147,2491.89593372995,68.5947036743164,94.6489410400391,55.0669403076172,9.77698040008545,3.13269377,62.773,65.786,2.434,58.916,2.45270320081193,28160542.0,47.339,52.661,Sub-Saharan Africa,Lower middle income
CMR,2020,472710.0,27.4,64.3,0.3747826580313597,84.36916915,45.52922268,4.05270603992123,-0.314720690108407,40773241177.05051,1539.1305451924457,66.4580001831055,107.264999389648,45.2589988708496,14.3037796020508,3.77177453,68.315,71.787,3.866,60.833,2.71185365793296,26491087.0,42.44,57.56,Sub-Saharan Africa,Lower middle income
CMR,2022,472710.0,29.4,71.0,0.3747826580313597,82.77764316,45.60217394,4.9676316564512,-0.244821097293484,43644068310.85101,1563.4889403445936,69.4347381591797,110.715507507324,45.143669128418,14.3037796020508,3.82407379,69.146,72.463,3.687,60.958,2.59810258830226,27914536.0,41.267,58.733,Sub-Saharan Africa,Lower middle income
COD,2020,2267050.0,4.1,20.1,0.0325847808481787,43.93861689,22.86494849,15.099939790057327,5.15828391286485,48716961860.13249,524.6666862114951,78.7289962768555,118.195663452148,45.143669128418,6.66692018508911,4.05092573,61.715,65.782,5.369,59.739,3.22447844328183,92853164.0,54.362,45.638,Sub-Saharan Africa,Low income
COD,2022,2267050.0,4.3,21.5,0.0325847808481787,50.3424172,22.90158489,33.09403222558912,-10.1589583298292,65801547619.59741,664.5935433366956,82.6475601196289,122.393676757812,56.8860206604004,6.66692018508911,3.7859261,62.685,66.263,4.585,59.743,3.19783510453186,99010212.0,53.163,46.837,Sub-Saharan Africa,Low income
COG,2020,341500.0,35.9,48.7,1.2545916697736688,98.52300193,8.65,20.9948351277027,-32.3664961222094,11468688140.722488,2011.2834404426255,65.1859970092773,87.6686172485352,65.6210021972656,12.2616300582886,4.39382887,51.795,67.795,22.373,63.785,2.33208625068898,5702174.0,32.17100000000001,67.829,Sub-Saharan Africa,Lower middle income
